608,0,32,35,32,prune
609,0,32,35,32,prune
609,1,-35,10000,-35
611,0,-10000,35,-156
612,0,-156,35,35
613,0,-156,35,35,prune
614,0,-156,35,35,prune
615,0,-156,35,35,prune
616,0,-156,35,35,prune
617,0,-156,35,35,prune
618,0,-156,35,35,prune
619,0,-156,35,35,prune
620,0,-156,35,35,prune
621,0,-156,35,6,prune
622,0,6,35,35,prune
623,0,6,35,35,prune
624,0,6,35,35,prune
625,0,6,35,35,prune
626,0,6,35,35,prune
627,0,6,35,35,prune
628,0,6,35,35,prune
629,0,6,35,29,prune
630,0,29,35,29,prune
631,0,29,35,35,prune
632,0,29,35,35,prune
633,0,29,35,29,prune
634,0,29,35,29,prune
635,0,29,35,29,prune
636,0,29,35,29,prune
637,0,29,35,29,prune
638,0,29,35,29,prune
638,1,-35,10000,-35
640,0,-10000,35,-158
641,0,-158,35,35
642,0,-158,35,35,prune
643,0,-158,35,35,prune
644,0,-158,35,35,prune
645,0,-158,35,35,prune
646,0,-158,35,35,prune
647,0,-158,35,35,prune
648,0,-158,35,35,prune
649,0,-158,35,-158,prune
650,0,-158,35,4,prune
651,0,4,35,35,prune
652,0,4,35,35,prune
653,0,4,35,35,prune
654,0,4,35,34,prune
655,0,34,35,35,prune
656,0,34,35,35,prune
657,0,34,35,35,prune
658,0,34,35,34,prune
659,0,34,35,34,prune
660,0,34,35,34,prune
661,0,34,35,34,prune
662,0,34,35,34,prune
663,0,34,35,34,prune
664,0,34,35,34,prune
665,0,34,35,34,prune
666,0,34,35,35,prune
666,1,-35,10000,-35
668,0,-10000,35,-163
669,0,-163,35,-163
670,0,-163,35,35
671,0,-163,35,35,prune
672,0,-163,35,35,prune
673,0,-163,35,35,prune
674,0,-163,35,35,prune
675,0,-163,35,35,prune
676,0,-163,35,35,prune
677,0,-163,35,35,prune
678,0,-163,35,-163,prune
679,0,-163,35,-1,prune
680,0,-1,35,35,prune
681,0,-1,35,35,prune
682,0,-1,35,34,prune
683,0,34,35,34,prune
684,0,34,35,34,prune
685,0,34,35,34,prune
686,0,34,35,34,prune
687,0,34,35,34,prune
688,0,34,35,34,prune
689,0,34,35,34,prune
690,0,34,35,34,prune
691,0,34,35,34,prune
692,0,34,35,34,prune
693,0,34,35,34,prune
694,0,34,35,34,prune
695,0,34,35,34,prune
695,1,-35,10000,-35
697,0,-10000,35,-164
698,0,-164,35,34
699,0,34,35,35
700,0,34,35,35,prune
701,0,34,35,35,prune
702,0,34,35,35,prune
703,0,34,35,35,prune
704,0,34,35,35,prune
705,0,34,35,35,prune
706,0,34,35,34,prune
707,0,34,35,35,prune
708,0,34,35,35,prune
709,0,34,35,34,prune
710,0,34,35,34,prune
711,0,34,35,34,prune
712,0,34,35,34,prune
713,0,34,35,34,prune
714,0,34,35,34,prune
715,0,34,35,34,prune
716,0,34,35,34,prune
717,0,34,35,34,prune
718,0,34,35,34,prune
719,0,34,35,34,prune
720,0,34,35,34,prune
721,0,34,35,34,prune
722,0,34,35,34,prune
723,0,34,35,34,prune
724,0,34,35,34,prune
724,1,-35,10000,-35
726,0,-10000,35,-182
727,0,-182,35,16
728,0,16,35,17
729,0,17,35,35
730,0,17,35,35,prune
731,0,17,35,35,prune
732,0,17,35,35,prune
733,0,17,35,35,prune
734,0,17,35,35,prune
735,0,17,35,35,prune
736,0,17,35,17,prune
737,0,17,35,17,prune
738,0,17,35,17,prune
739,0,17,35,17,prune
740,0,17,35,17,prune
741,0,17,35,17,prune
742,0,17,35,17,prune
743,0,17,35,17,prune
744,0,17,35,17,prune
745,0,17,35,17,prune
746,0,17,35,17,prune
747,0,17,35,17,prune
748,0,17,35,17,prune
749,0,17,35,17,prune
750,0,17,35,17,prune
751,0,17,35,17,prune
752,0,17,35,17,prune
753,0,17,35,17,prune
753,1,-35,10000,-35
755,0,-10000,35,35
756,0,-10000,35,6,prune
757,0,6,35,7,prune
758,0,7,35,35,prune
759,0,7,35,35,prune
760,0,7,35,30,prune
761,0,30,35,35,prune
762,0,30,35,30,prune
763,0,30,35,30,prune
764,0,30,35,30,prune
765,0,30,35,30,prune
766,0,30,35,30,prune
767,0,30,35,30,prune
768,0,30,35,30,prune
769,0,30,35,30,prune
770,0,30,35,30,prune
771,0,30,35,30,prune
